date,port,size,price,volume,vessel
2026-01-14,譫募ｴ・4.5kg荳・254.8,40,,,
2026-01-14,譫募ｴ・2.5kg荳・230.9,420,,,
2026-01-14,譫募ｴ・1.8kg荳・242.8,30,,,
2026-01-14,譫募ｴ・1.8kg荳・225.0,10,,,
2026-01-14,譫募ｴ・6.0kg荳・240.0,20,,,
2026-01-14,譫募ｴ・1.5kg荳・265.1,2,,,
2026-01-14,譫募ｴ・1.5kg荳九ム繝ｫ豺ｷ,180.0,2,,
2026-01-14,譫募ｴ・繧ｭ繝｡繧ｸ繧ｭ繧ｹ,125.1,0,,
2026-01-14,譫募ｴ・螟ｧ繧ｭ繧ｺ,143.0,0,,
2026-01-14,枕崎,4.5kg上,254.8,40.0,
2026-01-14,枕崎,2.5kg上,230.9,420.0,
2026-01-14,枕崎,1.8kg上,242.8,30.0,
2026-01-14,枕崎,1.8kg下,225.0,10.0,
2026-01-14,枕崎,6.0kg上,240.0,20.0,
2026-01-14,枕崎,1.5kg上,265.1,2.0,
2026-01-14,枕崎,1.5kg下ダル混,180.0,2.0,
2026-01-14,枕崎,キメジキス,125.1,0.0,
2026-01-14,枕崎,大キズ,143.0,0.0,
2026-01-17,螻蝱・4.5kg荳・235.0,30,,,
2026-01-17,螻蝱・2.5kg荳・226.62,330,,,
2026-01-17,螻蝱・1.8kg荳・232.0,40,,,
2026-01-17,螻蝱・1.8kg荳・228.7,50,,,
2026-01-17,螻蝱・6.0kg荳・214.0,20,,,
2026-01-17,螻蝱・2.5kg荳雁､牙ｽ｢,210.0,0,,
2026-01-17,螻蝱・2.5kg荳句､牙ｽ｢,203.0,0,,
2026-01-17,螻蝱・繧ｭ繝｡繧ｸ3.0kg荳・267.1,5,,,
2026-01-17,螻蝱・1.5kg荳・176.0,10,,,
2026-01-17,山川,4.5kg上,235.0,30.0,
2026-01-17,山川,2.5kg上,226.62,330.0,
2026-01-17,山川,1.8kg上,232.0,40.0,
2026-01-17,山川,1.8kg下,228.7,50.0,
2026-01-17,山川,6.0kg上,214.0,20.0,
2026-01-17,山川,2.5kg上変形,210.0,0.0,
2026-01-17,山川,2.5kg下変形,203.0,0.0,
2026-01-17,山川,キメジ3.0kg下,267.1,5.0,
2026-01-17,山川,1.5kg下,176.0,10.0,
2026-01-19,譫募ｴ・4.5kg荳・243.9,15,,,
2026-01-19,譫募ｴ・2.5kg荳・231.2,90,,,
2026-01-19,譫募ｴ・1.8kg荳・233.5,60,,,
2026-01-19,譫募ｴ・1.8kg荳・219.1,90,,,
2026-01-19,辟ｼ豢･,4.5kg荳・210.0,50,,
2026-01-19,辟ｼ豢･,2.5kg荳・214.5,230,,
2026-01-19,辟ｼ豢･,1.8kg荳・214.0,100,,
2026-01-19,辟ｼ豢･,1.8kg荳・202.5,120,,
2026-01-19,譫募ｴ・6.0kg荳・240.0,5,,,
2026-01-19,譫募ｴ・1.5kg荳・271.2,5,,,
2026-01-19,譫募ｴ・1.5kg荳九ム繝ｫ豺ｷ,181.3,5,,
2026-01-19,譫募ｴ・繝繝ｫ繝・.5kg荳・203.1,3,,,
2026-01-19,譫募ｴ・繧ｭ繝｡繧ｸ繧ｭ繧ｹ,123.0,0,,
2026-01-19,譫募ｴ・螟ｧ繧ｭ繧ｺ,138.0,0,,
2026-01-19,枕崎,4.5kg上,243.9,15.0,
2026-01-19,枕崎,2.5kg上,231.2,90.0,
2026-01-19,枕崎,1.8kg上,233.5,60.0,
2026-01-19,枕崎,1.8kg下,219.1,90.0,
2026-01-19,焼津,4.5kg上,210.0,50.0,
2026-01-19,焼津,2.5kg上,214.5,230.0,
2026-01-19,焼津,1.8kg上,214.0,100.0,
2026-01-19,焼津,1.8kg下,202.5,120.0,
2026-01-19,枕崎,6.0kg上,240.0,5.0,
2026-01-19,枕崎,1.5kg上,271.2,5.0,
2026-01-19,枕崎,1.5kg下ダル混,181.3,5.0,
2026-01-19,枕崎,ダルマ1.5kg上,203.1,3.0,
2026-01-19,枕崎,キメジキス,123.0,0.0,
2026-01-19,枕崎,大キズ,138.0,0.0,
2026-01-21,辟ｼ豢･,4.5kg荳・215.0,20,,
2026-01-21,辟ｼ豢･,2.5kg荳・212.5,390,,
2026-01-21,辟ｼ豢･,1.8kg荳・222.5,40,,
2026-01-21,辟ｼ豢･,1.8kg荳・205.5,30,,
2026-01-21,焼津,4.5kg上,215.0,20.0,
2026-01-21,焼津,2.5kg上,212.5,390.0,
2026-01-21,焼津,1.8kg上,222.5,40.0,
2026-01-21,焼津,1.8kg下,205.5,30.0,
2026-01-22,譫募ｴ・4.5kg荳・230.8,60,,,
2026-01-22,譫募ｴ・2.5kg荳・225.5,470,,,
2026-01-22,譫募ｴ・1.8kg荳・220.6,40,,,
2026-01-22,譫募ｴ・1.8kg荳・220.1,50,,,
2026-01-22,譫募ｴ・B蜩・.5kg荳・211.1,0,,,
