date,port,size,price,volume
2026-01-27,枕崎,1.8kg上,224.4,70
2026-01-27,枕崎,2.5kg上,225.9,300
2026-01-27,枕崎,4.5kg上,238.7,80
2026-01-28,山川,1.8kg上,242.0,10
2026-01-28,山川,2.5kg上,245.0,90
2026-01-28,山川,4.5kg上,242.95,20
2026-02-03,焼津,1.8kg上,220.0,10
2026-02-03,焼津,2.5kg上,214.0,240
2026-02-03,焼津,4.5kg上,209.0,100
2026-02-06,枕崎,1.8kg上,230.0,20
2026-02-06,枕崎,2.5kg上,235.0,40
2026-02-06,枕崎,4.5kg上,237.0,80
2026-02-06,焼津,1.8kg上,227.5,30
2026-02-06,焼津,2.5kg上,230.0,280
2026-02-06,焼津,4.5kg上,211.0,80
2026-02-09,山川,1.8kg上,234.18,30
2026-02-09,山川,2.5kg上,229.13,260
2026-02-09,山川,4.5kg上,225.68,120
2026-02-10,枕崎,1.8kg上,220.0,5
2026-02-10,枕崎,2.5kg上,230.0,210
2026-02-10,枕崎,4.5kg上,233.0,30
2026-02-10,焼津,1.8kg上,225.0,10
2026-02-10,焼津,2.5kg上,230.0,100
2026-02-10,焼津,4.5kg上,210.0,10
2026-02-13,焼津,1.8kg上,230.0,10
2026-02-13,焼津,2.5kg上,230.0,240
2026-02-13,焼津,4.5kg上,215.0,180
2026-02-16,山川,1.8kg上,242.0,10
2026-02-16,山川,2.5kg上,245.0,90
2026-02-16,山川,4.5kg上,242.95,20
2026-02-17,焼津,1.8kg上,240.0,50
2026-02-17,焼津,2.5kg上,237.0,290
2026-02-17,焼津,4.5kg上,235.0,60
